date,real,predict,predict_lower_bound,predict_upper_bound
2022-10-09,216,0,0.0,216.0
2022-10-16,186,0,0.0,214.5
2022-10-23,132,0,0.0,213.0
2022-10-30,133,0,0.0,211.5
2022-11-06,165,30,0.0,240.0
2022-11-13,161,38,0.0,246.5
2022-11-20,143,0,0.0,206.99999999999997
2022-11-27,142,0,0.0,205.49999999999997
2022-12-04,106,120,0.0,324.0
2022-12-11,74,108,0.0,310.5
2022-12-18,47,0,0.0,201.0
2022-12-25,65,0,0.0,199.49999999999997
2023-01-01,163,60,0.0,257.99999999999994
2023-01-08,127,41,0.0,237.5
2023-01-15,170,87,0.0,282.0
2023-01-22,226,394,200.5,587.5
2023-01-29,240,340,148.00000000000003,532.0
2023-02-05,246,532,341.50000000000006,722.5
2023-02-12,274,538,349.00000000000006,727.0
2023-02-19,354,662,474.5,849.5
2023-02-26,482,934,748.0,1120.0
2023-03-05,577,873,730.0,1016.0
2023-03-12,561,849,707.0,991.0
2023-03-19,614,1079,937.0,1221.0
2023-03-26,581,1620,1478.0,1762.0
2023-04-02,444,1804,1662.0,1946.0
2023-04-09,543,2059,1917.0,2201.0
2023-04-16,509,2180,2077.0,2283.0
2023-04-23,476,2171,2085.0,2257.0
2023-04-30,636,2327,2241.0,2413.0
2023-05-07,689,2501,2415.0,2587.0
2023-05-14,666,2171,2085.0,2257.0
2023-05-21,615,1930,1844.0,2016.0
2023-05-28,512,1749,1666.0,1832.0
2023-06-04,475,1433,1533.0,1333.0
2023-06-11,514,1203,1371.0,1035.0
2023-06-18,424,996,1260.0,732.0
2023-06-25,362,747,1033.0,461.0
2023-07-02,340,765,1053.0,477.0
2023-07-09,339,915,1211.0,619.0
2023-07-16,291,461,749.0,173.0
2023-07-23,253,544,832.0,256.0
2023-07-30,272,475,678.0,272.0
2023-08-06,216,205,375.0,35.0
2023-08-13,210,91,80.0,102.0
2023-08-20,224,224,213.0,235.0
2023-08-27,188,205,194.0,216.0
2023-09-03,134,0,0.0,119.0
2023-09-10,133,0,0.0,133.0
2023-09-17,104,0,0.0,133.0
2023-09-24,88,29,0.0,162.0
