date,real,predict,predict_lower_bound,predict_upper_bound
2023-10-08,680,826,972.0,680.0
2023-10-15,816,556,316.3,795.7
2023-10-22,769,741,504.20000000000005,977.8
2023-10-29,769,954,728.8000000000001,1179.1999999999998
2023-11-05,1053,317,0.0,957.8
2023-11-12,951,1363,746.0,1980.0
2023-11-19,1170,1187,593.8000000000004,1780.1999999999996
2023-11-26,1332,1114,544.6000000000003,1683.3999999999996
2023-12-03,1198,1266,720.4000000000002,1811.6
2023-12-10,993,925,403.2000000000005,1446.7999999999995
2023-12-17,706,924,426.0,1422.0
2023-12-24,1203,1355,880.8000000000004,1829.1999999999996
2023-12-31,3670,1460,134.40000000000214,2785.5999999999976
2024-01-07,4130,2480,634.0000000000002,4326.0
2024-01-14,5047,3169,1191.4000000000003,5146.599999999999
2024-01-21,7407,3383,719.5,6046.5
2024-01-28,12026,3538,0.0,8454.799999999996
2024-02-04,14054,3624,0.0,12403.299999999997
2024-02-11,15860,3876,0.0,14461.399999999996
2024-02-18,18418,4246,0.0,16339.400000000001
2024-02-25,19220,4481,0.0,18653.0
2024-03-03,18801,4604,0.0,18801.0
2024-03-10,19955,4805,0.0,19544.0
2024-03-17,19246,5037,0.0,19776.0
2024-03-24,15382,4676,0.0,19415.0
2024-03-31,18510,4760,0.0,19499.0
2024-04-07,18228,4516,0.0,19255.0
2024-04-14,17791,4408,0.0,19147.0
2024-04-21,15690,4430,0.0,19169.0
2024-04-28,15194,4565,0.0,19304.0
2024-05-05,13294,4383,0.0,19122.0
2024-05-12,10570,4006,0.0,18745.0
2024-05-19,6865,3205,0.0,17944.0
2024-05-26,3712,2398,0.0,17137.0
2024-06-02,878,1944,0.0,16683.0
