date,real,predict,predict_lower_bound,predict_upper_bound
2023-10-08,1203,2688,4173.0,1203.0
2023-10-15,1547,1225,993.3500000000001,1456.6499999999999
2023-10-22,1730,1829,1549.1,2108.9
2023-10-29,1916,2950,2691.15,3208.85
2023-11-05,2909,0,0.0,2391.5999999999995
2023-11-12,3005,4006,1743.75,6268.25
2023-11-19,4349,2900,429.0000000000009,5370.999999999999
2023-11-26,4991,1849,0.0,4909.45
2023-12-03,5462,2484,0.0,5560.4
2023-12-10,6082,1171,0.0,5285.949999999998
2023-12-17,4753,1491,0.0,5577.5
2023-12-24,5561,3307,0.0,7311.049999999999
2023-12-31,18338,1581,0.0,11230.399999999983
2024-01-07,24030,4233,0.0,22054.0
2024-01-14,37131,5313,0.0,28716.29999999999
2024-01-21,56826,4962,0.0,41791.5
2024-01-28,78217,5605,0.0,61618.599999999984
2024-02-04,91237,6296,0.0,80757.34999999998
2024-02-11,103421,7736,0.0,93751.39999999998
2024-02-18,128992,9676,0.0,106542.55000000002
2024-02-25,133971,11441,0.0,130757.0
2024-03-03,128460,12400,0.0,131716.0
2024-03-10,127278,13753,0.0,133069.0
2024-03-17,127571,15211,0.0,134527.0
2024-03-24,94695,14320,0.0,133636.0
2024-03-31,96086,15847,0.0,135163.0
2024-04-07,85020,15465,0.0,134781.0
2024-04-14,65214,14927,0.0,134243.0
2024-04-21,50304,14051,0.0,133367.0
2024-04-28,41826,13609,0.0,132925.0
2024-05-05,33398,12573,0.0,131889.0
2024-05-12,23354,11028,0.0,130344.0
2024-05-19,14446,8019,0.0,127335.0
2024-05-26,5778,4905,0.0,124221.0
2024-06-02,1314,3095,0.0,122411.0
