date,real,predict,predict_lower_bound,predict_upper_bound
2022-10-09,266,1312,2358.0,266.0
2022-10-16,366,1733,2795.05,670.95
2022-10-23,422,1831,2909.1000000000004,752.8999999999999
2022-10-30,439,1902,2996.15,807.8499999999999
2022-11-06,563,1741,2813.4,668.5999999999999
2022-11-13,680,1956,3035.0,877.0
2022-11-20,777,1821,2865.6,776.4000000000001
2022-11-27,791,1837,2881.7,792.3
2022-12-04,933,2074,3118.8,1029.2
2022-12-11,1096,2103,3126.65,1079.35
2022-12-18,939,1789,2717.5,860.5
2022-12-25,553,1885,2821.3500000000004,948.6499999999999
2023-01-01,440,2385,3329.2000000000003,1440.7999999999997
2023-01-08,457,2464,3416.05,1511.9499999999998
2023-01-15,574,2972,3931.9,2012.1
2023-01-22,742,3526,4493.75,2558.25
2023-01-29,1050,4140,5115.6,3164.3999999999996
2023-02-05,1588,4247,5230.450000000001,3263.5499999999997
2023-02-12,2332,5238,6229.3,4246.7
2023-02-19,2645,5264,6263.15,4264.85
2023-02-26,4357,5686,6693.0,4679.0
2023-03-05,6350,5935,6785.0,5085.0
2023-03-12,8200,6013,5598.0,6428.0
2023-03-19,12578,6642,4455.0,8829.0
2023-03-26,15598,6279,343.0,12215.0
2023-04-02,16812,6524,0.0,15843.0
2023-04-09,20908,6211,0.0,16499.0
2023-04-16,19158,6390,0.0,19158.0
2023-04-23,15635,5570,0.0,18338.0
2023-04-30,16117,5097,0.0,17865.0
2023-05-07,15109,4614,0.0,17382.0
2023-05-14,11907,4395,0.0,17163.0
2023-05-21,7831,2955,0.0,15723.0
2023-05-28,5781,2338,0.0,15106.0
2023-06-04,4243,2519,0.0,15287.0
2023-06-11,2870,2007,0.0,14775.0
2023-06-18,1759,2183,0.0,14951.0
2023-06-25,1499,2095,0.0,14863.0
2023-07-02,1220,1684,0.0,14452.0
2023-07-09,878,1538,0.0,14306.0
2023-07-16,643,1346,0.0,14114.0
2023-07-23,579,1252,0.0,14020.0
2023-07-30,555,2062,0.0,14830.0
2023-08-06,508,1262,0.0,14030.0
2023-08-13,489,1579,0.0,14347.0
2023-08-20,488,1354,0.0,14122.0
2023-08-27,378,1548,0.0,14316.0
2023-09-03,354,1576,0.0,12596.0
2023-09-10,459,1956,0.0,12451.0
2023-09-17,488,1336,0.0,11831.0
2023-09-24,503,1220,0.0,8732.0
